Array Design Name	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Comment[AdditionalFile:CDF]	YG_S98.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-27
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	glass
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	interpro	locus	mgd	pfam	pkr_hanks	refseq	scop	sgd	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.ebi.ac.uk/interpro	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																	
Comment[AdditionalFile:txt]	A-AFFY-27_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
6258_at		Q03954				6258_at									YDR201W		
6259_at		Q03956				6259_at									YDR202C		
6260_at						6260_at									S0002611		
6261_at		O13525				6261_at									YDR204W		
6262_at		Q03455			Cation_efflux	6262_at			IPR002524	IPB002524					S0002613		
6263_at		Q03466				6263_at			IPR000504						S0002614		
6264_at		P39001			Zn_clus	6264_at			IPR001138	IPB001138					YDR207C		
6265_at		P38994	d1bo1a_		PIP5K	6265_at			IPR002498	IPB002498	2.7.1.68				YDR208W		
6266_at		Q03480				6266_at									YDR209C		
6267_at		Q03482				6267_at				PR00761					YDR210W		
6268_at		P32501	d3tdt__		hexapep	6268_at			IPR003307	IPB001451	2.7.7.13				YDR211W		
6269_at		P12612	d1ass__		cpn60_TCP1	6269_at			IPR002194	IPB001844					YDR212W		
6270_at		Q12151			Zn_clus	6270_at			IPR001138	PR00208					S0002621		
6271_at		Q12449				6271_at									YDR214W		
6272_at		Q12240				6272_at									YDR215C		
6273_at		P07248			zf-C2H2	6273_at			IPR000822	IPB001275					YDR216W		
6274_at		P14737			BRCT	6274_at			IPR001357						YDR217C		
6275_at		Q04921			GTP_CDC	6275_at			IPR000038	IPB001482					YDR218C		
6276_at		Q04922			F-box	6276_at			IPR001810	IPB001810					YDR219C		
6277_at		Q04923				6277_at									S0002628		
6232_at		Q04924				6232_at			IPR002172	IPB002172					S0002629		
6233_at		Q04925				6233_at									YDR222W		
6234_at		Q04930				6234_at									YDR223W		
6235_at		P02293	d1hq3b_		histone	6235_at			IPR000558	IPB000558					YDR224C		
6236_i_at		P04911	d1igna1		histone	6236_i_at			IPR004822	IPB002119					YDR225W		
6237_at		P07170	d1e4ya1		adenylatekinase	6237_at			IPR000850	IPB000623	2.7.1.71				YDR226W		
6238_at		P11978				6238_at			IPR002114						YDR227W		
6239_at		P39081				6239_at				IPB002360					YDR228C		
6240_at		Q04934				6240_at									YDR229W		
6241_at						6241_at									YDR230W		
6242_at		Q04935				6242_at			IPR000977						S0002639		
6243_at		P09950	d1jdpa_		aminotran_1_2	6243_at			IPR004839	IPB000277	4.4.1.11				S0002640		
6244_at		Q04947			Reticulon	6244_at			IPR003388	IPB003388					YDR233C		
6245_at		P49367	d1aco_2		aconitase	6245_at			IPR000573	IPB000573	4.2.1.36				YDR234W		
6246_at		Q03776				6246_at									YDR235W		
6247_at		Q03778			FAD_Synth	6247_at			IPR002606	IPB002606	2.7.1.26				YDR236C		
6248_at		P36519	d1iq4a_		Ribosomal_L5_C	6248_at			IPR002132	IPB002132					YDR237W		
6249_at		P41810			Adaptin_N	6249_at			IPR002553	IPB002553					YDR238C		
6250_at		Q03780				6250_at									YDR239C		
6251_at		Q03782				6251_at									YDR240C		
6252_at		Q03783				6252_at									S0002649		
6253_at		P22580			Amidase	6253_at			IPR000120	IPB000120	3.5.2.12				YDR242W		
6254_at		P23394	d1hv8a1		helicase_C	6254_at			IPR000629	IPB000330					YDR243C		
6209_at		P35056	d1fcha_		TPR	6209_at			IPR001440						YDR244W		
6210_at		P50108				6210_at									YDR245W		
6211_at		Q03784			Sybindin	6211_at									YDR246W		
6212_at		Q03785			pkinase	6212_at			IPR002290	IPB000959					YDR247W	ran1+	
6213_at		Q03786	d1e6ca_			6213_at			IPR006001	IPB000619	2.7.1.12				YDR248C		
6214_at		Q03787				6214_at									S0002657		
6215_at		Q03788				6215_at									YDR250C		
6216_at		P37304				6216_at									S0002659		
6217_at		P40314			NAC	6217_at			IPR002715	IPB002715					YDR252W		
6218_at		Q12041			zf-C2H2	6218_at			IPR000822	IPB000822					YDR253C		
6219_at		P38907				6219_at									S0002662		
6220_at		Q12508				6220_at									YDR255C		
6221_at		P15202	d4blca_		catalase	6221_at			IPR002226	IPB002226	1.11.1.6				YDR256C		
6222_at		Q12504				6222_at			IPR001214						YDR257C		
6223_at		P33416	d1jr3a2		AAA	6223_at			IPR003959	IPB002576					YDR258C		
6224_at		Q03935			bZIP	6224_at			IPR004827						YDR259C		
6225_at		Q12379				6225_at									YDR260C		
6226_at		P52911	d1eqca_		cellulase	6226_at			IPR001547		3.2.1.58				YDR261C		
6227_at		Q12331				6227_at			IPR000782	IPB000782					S0002670		
6228_at		Q12086	d1fbna_		XPG_N	6228_at			IPR006086	IPB001532					YDR263C		
6229_at		P39010	d2prga_		zf-DHHC	6229_at			IPR001594	PR01415					YDR264C		
6230_at		Q05568	d1fbva4			6230_at			IPR001841	IPB001293					YDR265W		
6231_at		Q05580				6231_at			IPR000822	IPB003649					YDR266C		
6187_at		Q05583	d1erja_		WD40	6187_at			IPR001680	IPB001680					YDR267C		
6188_at		P04803	d1i6la_		tRNA-synt_1b	6188_at			IPR002305	IPB001412					YDR268W		
6189_at		P87281				6189_at									YDR269C		
6190_at		P38995	d2plda_		HMA	6190_at			IPR005834	IPB001934	3.1.3.3				YDR270W		
6191_at		P87282				6191_at									YDR271C		
6192_at		Q05584	d1qh5a_		lactamase_B	6192_at			IPR001279		3.1.2.6				YDR272W		
6193_at		Q05610			CUE	6193_at			IPR003892						YDR273W		
6194_at		P87283				6194_at									YDR274C		
6195_at		Q05611				6195_at									S0002683		
6196_at		P87284			UPF0057	6196_at			IPR000612	IPB000612					YDR276C		
6197_at		P35198				6197_at									S0002685		
6198_at		Q05612				6198_at									S0002686		
6199_at		Q05635				6199_at									YDR279W		
6200_at		Q05636			RNase_PH	6200_at			IPR001247						S0002688		
6201_at		Q05637				6201_at									S0002689		
6202_at		Q05648			DUF155	6202_at			IPR003734	IPB003734					YDR282C		
6203_at		P15442	d1phk__		pkinase	6203_at			IPR002290	IPB003605	6.1.1.21				YDR283C	GCN2	
6204_at		Q05521			PAP2	6204_at			IPR000326						YDR284C		
6205_at		P31111				6205_at				IPB000237					YDR285W		Q27480
6206_at		Q05530				6206_at									S0002694		
6207_at		Q05533	d2hhma_		inositol_P	6207_at			IPR000760	IPB000760	3.1.3.25				YDR287W		
6208_at		Q05541				6208_at									YDR288W		
6163_at		Q05543				6163_at				IPB000547					S0002697		
6164_at		P87280				6164_at									S0002698		
6165_at		Q05549	d1hv8a1		helicase_C	6165_at			IPR001650	IPB000629					YDR291W		
6166_at		P32916	d1fts_2		SRP54	6166_at			IPR000897	IPB003348					S0002700		
6167_at		P24276			RNB	6167_at			IPR001900	IPB001900					YDR293C		
6168_at		Q05567	d1eg5a_		pyridoxal_deC	6168_at			IPR002129		4.1.1.15				S0002702		
6169_at		Q06629				6169_at			IPR006162						YDR295C		
6170_at		Q06630				6170_at									YDR296W		
6171_at		P38992			Sterol_desat	6171_at			IPR006087	IPB001541	1.3.3.2				YDR297W		
6172_at		P09457			OSCP	6172_at			IPR000711	IPB000711					YDR298C		
6173_at		Q06631				6173_at				IPB001580					YDR299W		
6174_at		P32264	d1e19a_		aakinase	6174_at			IPR002478	IPB002478	1.2.1.41				YDR300C		
6175_at		Q06632			CPSF_A	6175_at			IPR004871	IPB000135					YDR301W		
6176_at		Q06636				6176_at									YDR302W		
6177_at		Q06639			Zn_clus	6177_at			IPR001138	IPB001138					YDR303C		
6178_at		P35176	d1cyna_		pro_isomerase	6178_at			IPR002130	IPB002130					S0002712		
6179_at		P49775	d1fit__		HIT	6179_at			IPR001310	IPB001310	3.6.1.29				YDR305C		
6180_i_at		P49775	d1fit__		HIT	6180_i_at			IPR001310	IPB001310	3.6.1.29				YDR305C		
6181_r_at		P49775	d1fit__		HIT	6181_r_at			IPR001310	IPB001310	3.6.1.29				S0002713		
6182_f_at		P49775	d1fit__		HIT	6182_f_at			IPR001310	IPB001310	3.6.1.29				YDR305C		
6183_at		Q06640				6183_at									YDR306C		
6184_at		Q06644			MIR	6184_at			IPR003608	IPB003342	2.4.1.109				YDR307W		
6185_at		P47822				6185_at									YDR308C		
6186_at		Q06648			PBD	6186_at			IPR000095						S0002717		
6140_at		P46676				6140_at			IPR000637	IPB000637					YDR310C		
6141_at		P32776			BSD	6141_at			IPR005607						S0002719		
6142_i_at		Q12153			SSF1	6142_i_at			IPR005577						YDR312W		
6143_f_at		Q12153			SSF1	6143_f_at			IPR005577						YDR312W		
6144_at		Q06651	d1joca1		FYVE	6144_at			IPR000306	IPB002867					YDR313C		
6145_at		Q06665			Rad4	6145_at			IPR004583						S0002722		
6146_at		Q06667				6146_at									YDR315C		
6147_at		Q06668				6147_at			IPR001601	IPB000339	2.1.1.17				YDR316W		
6148_at		Q06674				6148_at									YDR317W		
6149_at		Q06675				6149_at									S0002726		
6150_at		Q06676				6150_at									YDR319C		
6151_at		Q06677			TPR	6151_at			IPR001440						YDR320C		
6152_at		P38986	d1jsra_		Asparaginase	6152_at			IPR004550	IPB000267	3.5.1.38				S0002729		
6153_at		P36530	d1a44__		PBP	6153_at			IPR001858	IPB001858					YDR322W		
6154_at		P81449				6154_at									YDR322C-A		
6155_at		P32609			FYVE	6155_at			IPR000822	IPB000822					YDR323C		
6156_at		Q06679	d1k8kc_		WD40	6156_at			IPR001680						YDR324C		
6157_at		Q06680			Cnd3_C	6157_at				IPB000135					YDR325W		
6158_at		Q06681			GRAM	6158_at			IPR004182						YDR326C		
6159_at		P87288				6159_at									S0002735		
6160_at		P52286	d1fs1b2		Skp1_POZ	6160_at			IPR001232	IPB001232					YDR328C		
6161_at		P28795				6161_at									S0002737		
6162_at		Q06682	d1jrua_		UBX	6162_at			IPR001012	IPB001012					YDR330W		
6117_at		P49018			Peptidase_C13	6117_at			IPR001096	PR00776	3.4.22.34				YDR331W		
6118_at		Q06683	d1hv8a1		helicase_C	6118_at			IPR006095	IPB000629	3.1.21.5				YDR332W		
6119_at		Q05468				6119_at									S0002741		
6120_at		Q05471			helicase_C	6120_at			IPR001650	IPB002464					YDR334W		
6121_at		P52918				6121_at									YDR335W		
6122_at		Q05473				6122_at			IPR001401	IPB000765					YDR336W		
6123_at		P21771	d1dk1a_		Ribosomal_S15	6123_at			IPR000589	IPB000589					YDR337W		
6124_at		Q05497			UPF0013	6124_at			IPR002528						YDR338C		
6125_at		Q05498				6125_at									S0002747		
6126_at		Q05503				6126_at									S0002748		
6127_at		Q05506	d1f7ua3		tRNA-synt_1d	6127_at			IPR005148		6.1.1.19				YDR341C		
6128_f_at		P39004			sugar_tr	6128_f_at			IPR005829	IPB002897					YDR342C		
6129_f_at		P39003			sugar_tr	6129_f_at			IPR005829	IPB002897					YDR343C		
6130_at		Q05510				6130_at									YDR344C		
6131_at		P32466			sugar_tr	6131_at			IPR003663	IPB002897					S0002753		
6132_at		Q05515				6132_at				IPB000135					S0002754		
6133_at		P10662	d1kkca2			6133_at				IPB001189	1.15.1.1				YDR347W		
6134_at		Q05518				6134_at									YDR348C		
6135_at		Q06325	d1smra_		asp	6135_at			IPR001461		3.4.23.35				YDR349C		
6136_at		P50273				6136_at									YDR350C		
6137_at		P42223				6137_at									S0002759		
6138_at		Q06328			PQ-loop	6138_at									YDR352W		
6139_at		P29509	d1vdc_1		pyr_redox	6139_at			IPR005982	IPB000171	1.18.1.1				YDR353W		
6095_at		P07285			Glycos_transf_3	6095_at			IPR000312	IPB000312					S0002762		
6096_at		P87285				6096_at									YDR355C		
6097_at		P32380				6097_at			IPR000533	IPB001322					YDR356W		Q27480
6098_at		Q06333				6098_at									YDR357C		
6099_at		Q06336	d2gwxa_		VHS	6099_at			IPR004152	IPB002014					YDR358W		
6100_at		Q06337				6100_at			IPR001005						S0002767		
6101_at		P87286				6101_at									YDR360W		
6102_at		Q06338				6102_at									YDR361C		
6103_at		Q06339			AT_hook	6103_at			IPR000637						YDR362C		
6104_at		Q06340				6104_at			IPR000626	IPB001978					YDR363W		
6105_at		O94742				6105_at									YDR363W-A		
6106_at		P40968				6106_at			IPR000408						YDR364C		
6107_at		Q06344				6107_at				IPB001978					S0002773		
6108_at		P87287				6108_at									S0002774		
6109_at		Q06346				6109_at									YDR367W		
6110_at		Q12458	d1hw6a_		aldo_ket_red	6110_at			IPR001395	IPB001395	1.3.1.20				YDR368W		
6111_at		P33301			FHA	6111_at			IPR000253						S0002777		
6112_at		Q06349				6112_at									S0002778		
6113_at		Q06350	d1d2ka2		Glyco_hydro_18	6113_at			IPR001579	IPB001223	3.2.1.96				YDR371W		
6114_at		Q06385				6114_at									YDR372C		
6115_at		Q06389	d1gsma1		efhand	6115_at			IPR002048	IPB002048					YDR373W		
6116_at		Q06390			YT521-B	6116_at									S0002782		
6072_at		P32839	d1e32a2		AAA	6072_at			IPR003960	IPB003338					YDR375C		
6073_at		P48360	d1cjca2			6073_at			IPR000759	IPB000103	1.4.1.13				YDR376W		
6074_at		Q06405				6074_at									S0002785		
6075_at		Q06406	d1i8fa_		Sm	6075_at			IPR001163	IPB001163					YDR378C		
6076_at		Q06407	d2ngrb_		RhoGAP	6076_at			IPR001781	IPB001781					YDR379W		
6077_at		Q06408	d1pyda1		TPP_enzymes_N	6077_at			IPR000399	IPB000399	4.1.1.74				YDR380W		
6078_at		Q12159			rrm	6078_at			IPR000504						YDR381W		
6079_at		Q12159			rrm	6079_at			IPR000504						YDR381W		
6080_at		P02400			60s_ribosomal	6080_at			IPR001813	PR00456					YDR382W		
6081_at		Q12493				6081_at									S0002791		
6082_at		Q12359			Grp1_Fun34_YaaH	6082_at			IPR000791	IPB000791					YDR384C		
6083_at		Q04149			ERCC4	6083_at			IPR006166						YDR386W		
6084_at		Q04162			sugar_tr	6084_at			IPR003663	IPB003662					YDR387C		
6085_at		P39743	d1gcqa_		SH3	6085_at			IPR004148	IPB003134					YDR388W		
6086_at		P17121	d2ngrb_		RhoGAP	6086_at			IPR000198	IPB000198					YDR389W		
6087_at		P52488	d1ayfa_		UBACT	6087_at			IPR000594	IPB000011					YDR390C		
6088_at		Q04170				6088_at				IPB000310					YDR391C		
6089_at		P06844			TFIID-18	6089_at			IPR003195	IPB003195					S0002800		
6090_at		Q04172				6090_at									S0002801		
6091_at		P33298	d1e32a2		AAA	6091_at			IPR005937	IPB001984					YDR394W		
6092_at		Q04175			IBN_NT	6092_at			IPR001494						S0002803		
6093_at		O13522				6093_at			IPR002221	IPB002221					YDR396W		
6094_at		Q92317				6094_at			IPR003958						YDR397C		
6049_at		Q04177				6049_at			IPR001680	IPB003098					YDR398W		
6050_at		Q04178	d1bzya_			6050_at				IPB000706	2.4.2.8				S0002807		
6051_at		Q04179	d1ezra_		IU_nuc_hydro	6051_at			IPR001910	IPB001910	3.2.2.1				YDR400W		
6052_at		P21595	d1dt6a_		p450	6052_at			IPR002401		1.14.13.30				YDR402C		P21595
6053_at		O13523				6053_at									YDR401W		
6054_at		P21623				6054_at									YDR403W		
6055_at		P34087	d1go3e_		S1	6055_at			IPR005576						YDR404C		
6056_at		P32387			Ribosomal_L23	6056_at			IPR001014	IPB001014					YDR405W		
6057_at		Q04182	d1g6ha_		ABC_tran	6057_at			IPR005285	IPB001198					YDR406W		
6058_at		Q04183				6058_at				IPB002889					YDR407C		
6059_at		P04161	d1jkxa_		formyl_transf	6059_at			IPR004607	IPB001555					YDR408C		
6060_at		Q04195	d1jm7b_		zf-MIZ	6060_at			IPR003034						YDR409W		
6061_at		P32584			ICMT	6061_at					2.1.1.100				YDR410C		
6062_at		Q12743				6062_at									YDR411C		
6063_at		P87266				6063_at									S0002821		
6064_at		Q04031				6064_at									YDR412W		
6065_at		P16151			EXS	6065_at			IPR004342						YDR414C		
6066_at		Q04033	d1amp__			6066_at					3.4.11.10				YDR415C		
6067_at		Q04048				6067_at			IPR003107	IPB003107					S0002824		
6068_at		P87267				6068_at									YDR417C		
6069_i_at		P17079			Ribosomal_L11_N	6069_i_at			IPR000911	IPB000911					YDR418W		
6070_s_at		P17079			Ribosomal_L11_N	6070_s_at			IPR000911	IPB000911					YDR418W		
6071_at		Q04049	d1jiha_		IMS	6071_at			IPR001126	IPB001126					YDR419W		
6026_at		P41809				6026_at			IPR002965	IPB002889					YDR420W		
6027_at		Q04052			Zn_clus	6027_at			IPR001138	PR00755					YDR421W		
6028_at		P32578				6028_at									S0002830		
6029_at		P24813				6029_at			IPR004827						YDR423C		
6030_at		Q02647	d1cmia_		Dynein_light	6030_at			IPR001372	IPB001372					S0002832		
6031_at		Q04053			PX	6031_at			IPR001683	IPB001683					YDR425W		
6032_at		P87268				6032_at									YDR426C		
6033_at		Q04062			PCI	6033_at			IPR000717						YDR427W		
6034_at		Q04066				6034_at			IPR000379	IPB002168					YDR428C		
6035_at		Q04067	d1b7fa1		rrm	6035_at			IPR000504						YDR429C		
6036_at		P32898	d1bcca1			6036_at			IPR001412		3.4.24.61				YDR430C		
6037_at		Q04069				6037_at									S0002839		
6038_at		Q01560	d1b7fa1		rrm	6038_at			IPR002952	IPB000817					YDR432W		
6039_g_at		Q01560	d1b7fa1		rrm	6039_g_at			IPR002952	IPB000817					YDR432W		
6040_i_at		P87269				6040_i_at									YDR433W		
6041_at		Q04080				6041_at									S0002842		
6042_at		Q04081			LCM	6042_at									S0002843		
6043_at		P33329	d1fjma_		Metallophos	6043_at			IPR006186	IPB000934	3.6.1.41				YDR436W		
6044_at		Q04082				6044_at									S0002845		
6045_at		Q04083				6045_at									S0002846		
6046_at		Q04087				6046_at				IPB001070					S0002847		
6047_at		Q04089				6047_at									YDR440W		
6048_at		P36973	d1g2qa_		Pribosyltran	6048_at			IPR002375	IPB002375	2.4.2.7				YDR441C		
6003_at		P87270				6003_at									S0002850		
6004_at		P38931				6004_at									YDR443C		
6005_at		Q04093				6005_at			IPR000734						YDR444W		
6006_at		Q04100				6006_at									S0002853		
6007_at		Q04110				6007_at									S0002854		
6008_at		Q02336			myb_DNA-binding	6008_at			IPR000433	IPB000433					YDR448W		
6009_at		Q02354				6009_at			IPR003107	IPB003107					YDR449C		
6010_at		Q04116	d1fjla_		homeobox	6010_at			IPR001356	IPB003350					YDR451C		
6011_at		Q04119			Metallophos	6011_at			IPR004843	IPB003701	3.1.4.12				YDR452W		
6012_at		Q04120	d1qmva_		AhpC-TSA	6012_at			IPR000866	IPB000866					YDR453C		
6013_at		P15454	d1gky__		Guanylate_kin	6013_at			IPR000619	IPB000765	2.7.4.8				YDR454C		
6014_at		P87271				6014_at			IPR001230						YDR455C		
6015_at		Q04121			Na_H_Exchanger	6015_at			IPR004709	PR01084					YDR456W		
6016_at		Q03280			HECT	6016_at			IPR000569	IPB000569					YDR457W		
6017_at		Q03281				6017_at									YDR458C		
6018_at		Q03289			zf-DHHC	6018_at			IPR001594	IPB001594					YDR459C		
6019_at		Q03290	d1g25a_			6019_at			IPR004575						YDR460W		
6020_r_at		P34165				6020_r_at			IPR001230						S0002869		
6021_f_at		P34165				6021_f_at			IPR001230						YDR461W		
6022_at		P36527				6022_at									YDR462W		
6023_at		Q00947			zf-C2H2	6023_at			IPR000822	IPB000822					YDR463W		
6024_at		P38904				6024_at			IPR003903						YDR464W		
6025_at		Q03305	d1khha_			6025_at					2.1.1.2				YDR465C		
5980_at		Q03306	d1a4ea_		pkinase	5980_at			IPR000719	IPB003605	2.7.1.38				YDR466W	DBF20	
5981_at		P87264				5981_at									S0002875		
5982_at		Q03322				5982_at			IPR000727	IPB000017					YDR468C		
5983_at		Q03323				5983_at									YDR469W		
5984_at		Q03327				5984_at			IPR001993						YDR470C		
5985_at		P38706			Ribosomal_L27e	5985_at			IPR001141	IPB002784					YDR471W		
5986_at		Q03337			TRAPP_Bet3	5986_at									S0002880		
5987_at		Q03338				5987_at									YDR473C		
5988_at		Q03359				5988_at				IPB003868					S0002882		
5989_at		Q03361				5989_at									S0002883		
5990_at		Q03362				5990_at									YDR476C		
5991_at		P06782	d1ia8a_		pkinase	5991_at			IPR000719	IPB003605	2.7.1.38				YDR477W	SNF1	
5992_at		P40993				5992_at									YDR478W		
5993_at		Q03370				5993_at									S0002887		
5994_at		Q03373				5994_at									S0002888		
5995_at		P11491	d1ed8a_		alk_phosphatase	5995_at			IPR001952	IPB002599	3.1.3.39				YDR481C		
5996_at		Q03375				5996_at									S0002890		
5997_at		P27809			Glyco_transf_15	5997_at			IPR002685	IPB002685	2.4.1.131				YDR483W		
5998_at		P39904			Vps52	5998_at									YDR484W		
5999_at		Q03388				5999_at				IPB000135					S0002893		
6000_at		Q03390				6000_at									S0002894		
6001_at		Q99258	d1xgsa2		DHBP_synthase	6001_at			IPR000422	IPB000422					YDR487C		
6002_at		P40960				6002_at			IPR001680	IPB001680					YDR488C		
5958_at		Q03406				5958_at									YDR489W		
5959_at		Q03407	d1a4ea_		pkinase	5959_at			IPR000719	IPB003605	2.7.1.38				S0002898	DBF20	
5960_at		Q03418				5960_at									YDR491C		
5961_at		Q03419			UPF0073	5961_at			IPR004254						YDR492W		
5962_at		Q03429				5962_at									S0002901		
5963_at		Q03430				5963_at									YDR494W		
5964_at		P23643				5964_at			IPR001993						YDR495C		
5965_at		Q04373			PUF	5965_at			IPR001313						YDR496C		
5966_at		P30605			sugar_tr	5966_at			IPR005829	IPB002897					S0002905		
5967_at		P28791			Sec20	5967_at			IPR005606						YDR498C		
5968_at		Q04377				5968_at									S0002907		
5969_at		P51402	d1jj2z_		Ribosomal_L37e	5969_at			IPR001569	IPB001569					YDR500C		
5970_at		Q04383				5970_at			IPR000253						YDR501W		
5971_at		P19358	d1qm4a1		S-AdoMet_syntD3	5971_at			IPR002133	IPB002133	2.5.1.6				YDR502C		
5972_at		Q04396			PAP2	5972_at			IPR000326		3.1.3.27				YDR503C		
5973_at		Q04398				5973_at									YDR504C		
5974_at		P50896				5974_at									S0002913		
5975_at		Q04399	d1aoza1		Cu-oxidase	5975_at			IPR002355	IPB001117	1.3.3.5				YDR506C		
5976_at		Q12263	d1ia8a_		pkinase	5976_at			IPR002290	IPB003605	2.7.1.38				YDR507C	YCL24	
5977_at		P48813			aa_permeases	5977_at			IPR004841	IPB001614					YDR508C		
5978_at		P87272				5978_at									S0002917		
5979_at		Q12306	d1euvb_		ubiquitin	5979_at			IPR000626	IPB000626					YDR510W		
5935_at		Q04401				5935_at									YDR511W		
5936_at		Q04406				5936_at									S0002920		
5937_at		P17695	d1kte__		glutaredoxin	5937_at			IPR002109	IPB002109					YDR513W		
5938_at		Q04408				5938_at									YDR514C		
5939_at		Q12034				5939_at			IPR002344	PR00302					YDR515W		
5940_at		Q04409	d1bdg_1		hexokinase2	5940_at			IPR001312	IPB001312					YDR516C		
5941_at		Q04410				5941_at									YDR517W		
5942_at		P32474	d1quwa_		thiored	5942_at			IPR000886	IPB000063	5.3.4.1				YDR518W		
5943_at		P32472	d1yat__		FKBP	5943_at			IPR001179	IPB000774					YDR519W		
5944_at		Q04411			Zn_clus	5944_at			IPR001138	IPB001138					YDR520C		
5945_at		P87273				5945_at									S0002929		
5946_at		P08459				5946_at									YDR522C		
5947_at		P08458	d1f3mc_		pkinase	5947_at			IPR002290	IPB003605	2.7.1.38				YDR523C	Dtrk	
5948_at		Q04412	d1dcqa2		ArfGap	5948_at			IPR001164	IPB000679					YDR524C		
5949_at		Q04413				5949_at									S0002933		
5950_at		P87274				5950_at									S0002934		
5951_at		Q04418				5951_at									YDR527W		
5952_at		Q04429				5952_at									YDR528W		
5953_at		P00128			UCR_14kD	5953_at			IPR003197	IPB003197					YDR529C		
5954_at		P22108				5954_at					2.7.7.53				YDR530C		
5955_at		Q04430			Fumble	5955_at			IPR004567						YDR531W		
5956_at		Q04431				5956_at									YDR532C		
5957_at		Q04432	d1g2ia_		DJ-1_PfpI	5957_at			IPR002818	IPB002818					YDR533C		
5913_at		Q04433				5913_at				IPB002889					YDR534C		
5914_at		Q04434				5914_at									S0002943		
5915_at		P39932			sugar_tr	5915_at			IPR003663	IPB003662					S0002944		
5916_at		P87261				5916_at									YDR537C		
5917_at		P33751			Flavoprotein	5917_at			IPR004507	IPB003382					YDR538W		
5918_at		Q03034			UPF0096	5918_at			IPR002830	IPB002830					YDR539W		
5919_at		Q03036				5919_at									S0002948		
5920_at		Q03049	d1eq2a_			5920_at				IPB001509	1.3.1.24				YDR541C		
5921_at		P56508			UPF0057	5921_at			IPR000612	IPB000612					YDR525W-A		
5922_s_at						5922_s_at									YDL184w-a		
5923_at						5923_at									YDL085c-a		
5924_at						5924_at									YDR524w-a		
5925_at						5925_at									YDR524c-a		
5926_g_at						5926_g_at									YDR524c-a		
5927_at		Q07351			zf-C2H2	5927_at			IPR000822	IPB000822					YDL048C		
5928_at	NC_001136					5928_at											
5929_at	NC_001136					5929_at											
5930_at	NC_001136					5930_at											
5931_at	NC_001136					5931_at											
5932_at	NC_001136					5932_at											
5933_at	NC_001136					5933_at											
5934_at	NC_001136					5934_at											
5887_i_at	NC_001136					5887_i_at											
5888_at	NC_001136					5888_at											
5889_at	NC_001136					5889_at											
5890_i_at	NC_001136					5890_i_at											
5891_f_at	NC_001136					5891_f_at											
5892_at	NC_001136					5892_at											
5893_at	NC_001136					5893_at											
5894_at	NC_001136					5894_at											
5895_at	NC_001136					5895_at											
5896_at	NC_001136					5896_at											
5897_at	NC_001136					5897_at											
5898_at	NC_001136					5898_at											
5899_i_at	NC_001136					5899_i_at											
5900_at	NC_001136					5900_at											
5901_at	NC_001136					5901_at											
5902_at	NC_001136					5902_at											
5903_at	NC_001136					5903_at											
5904_at	NC_001136					5904_at											
5905_i_at	NC_001136					5905_i_at											
5906_r_at	NC_001136					5906_r_at											
5907_at	NC_001136					5907_at											
5908_at	NC_001136					5908_at											
5909_at	NC_001136					5909_at											
5910_at	NC_001136					5910_at											
5911_at	NC_001136					5911_at											
5912_at	NC_001136					5912_at											
5864_at	NC_001136					5864_at											
5865_at	NC_001136					5865_at											
5866_at	NC_001136					5866_at											
5867_at	NC_001136					5867_at											
5868_at	NC_001136					5868_at											
5869_at	NC_001136					5869_at											
5870_at	NC_001136					5870_at											
